y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1.321,2,1.0,1000.0,4500.0,1.0,A0,0,6,1000,0,,4837.0,99
2.78,4,2.5,1830.0,5331.0,2.0,A0,0,7,1830,0,1830.0,5175.0,13
3.65,3,1.5,1690.0,6010.0,1.0,A0,0,7,1230,460,1690.0,5418.0,69
16.94,4,3.5,5440.0,,2.0,A0,0,12,5440,0,,41313.0,25
2.28,4,2.5,2100.0,6783.0,2.0,A0,0,8,2100,0,2100.0,6192.0,12
6.9,3,1.0,1270.0,6500.0,1.0,A0,0,7,1270,0,,7200.0,59
1.7675,3,2.0,1320.0,7200.0,1.0,A0,0,7,1320,0,1540.0,7200.0,40
1.33,3,1.0,1300.0,7420.0,1.0,A0,0,6,1300,0,1250.0,7420.0,55
6.35,4,2.75,2710.0,41811.0,1.5,A0,0,8,1690,1020,2110.0,35656.0,20
6.85,4,2.5,3120.0,8792.0,2.0,A0,0,9,3120,0,2150.0,7688.0,23
1.985,4,2.75,1300.0,9638.0,1.0,A0,0,7,1300,0,1670.0,9638.0,32
2.6,2,1.75,1030.0,1066.0,2.0,A0,0,7,765,265,,1106.0,9
7.22,4,2.75,2650.0,8610.0,2.0,A0,0,8,2650,0,1680.0,8316.0,56
3.93,3,1.5,1370.0,7697.0,1.0,A0,0,7,1370,0,1370.0,7697.0,76
1.85,3,1.75,1680.0,8725.0,1.0,A0,0,8,1240,440,2020.0,8352.0,37
12.35,2,2.25,3950.0,3938.0,2.0,A0,4,10,2910,1040,3220.0,4500.0,24
8.15,4,4.25,4420.0,5750.0,2.0,A0,0,10,3410,1010,4420.0,5750.0,9
3.45,4,1.0,1510.0,1501.0,1.5,A0,0,7,1510,0,1560.0,1602.0,109
6.4,3,3.25,3060.0,9055.0,2.0,A0,0,10,2460,600,2990.0,9598.0,21
1.2495,3,1.75,1550.0,6225.0,1.0,A0,0,7,1550,0,,9496.0,66
0.7555,4,1.0,1470.0,6061.0,1.5,A0,0,7,1470,0,1230.0,6175.0,70
2.54,2,1.0,990.0,57499.0,1.0,A0,0,6,990,0,2090.0,27442.0,66
3.0,3,1.75,2140.0,13598.0,1.5,A0,0,7,1620,520,930.0,10150.0,45
3.05,3,2.25,1530.0,1305.0,2.0,A0,0,7,1116,414,1320.0,1427.0,8
3.85,3,2.5,1690.0,5131.0,1.0,A0,0,7,1690,0,860.0,5137.0,74
6.009,3,2.5,2920.0,9096.0,2.0,A0,0,9,2920,0,2930.0,7995.0,2
4.87,3,2.0,3250.0,50529.0,2.0,A0,0,8,3250,0,2370.0,47480.0,37
8.35,3,2.5,2720.0,7250.0,2.0,A0,0,9,2720,0,2870.0,7250.0,25
12.25,3,1.0,2040.0,7936.0,1.0,A0,3,8,1680,360,2300.0,10080.0,75
3.05,4,2.5,2500.0,11070.0,1.0,A0,2,8,1300,1200,2500.0,11070.0,51
8.78007,4,3.5,3120.0,5086.0,2.0,A0,0,9,2480,640,1880.0,5092.0,7
4.7,5,4.0,1680.0,7268.0,1.0,A0,0,8,1370,310,2040.0,8259.0,7
2.6,3,1.5,1140.0,15890.0,1.0,A0,0,7,840,300,,15247.0,30
2.379,4,2.5,1630.0,4473.0,2.0,A0,0,7,1630,0,,5082.0,12
6.15,3,2.0,,6428.0,1.0,A0,0,7,980,780,1760.0,6004.0,73
15.71,6,3.5,4010.0,16200.0,1.0,A0,0,8,2090,1920,3560.0,16200.0,60
7.87,4,2.5,,14565.0,2.0,A0,0,11,3190,0,3420.0,20475.0,25
2.5495,3,1.0,1750.0,7800.0,1.0,A0,0,7,1150,600,1750.0,7560.0,59
1.31,3,1.75,1140.0,9800.0,1.0,A0,0,7,1140,0,1370.0,9800.0,47
4.75,4,2.5,2470.0,7539.0,2.0,A0,0,9,2470,0,2580.0,7539.0,9
4.92,5,2.25,2100.0,6936.0,1.0,A0,0,8,1600,500,2100.0,8661.0,41
2.25,4,2.5,1910.0,8058.0,2.0,A0,0,8,1910,0,1910.0,6500.0,23
1.0495,3,1.0,920.0,4875.0,1.0,A0,0,6,920,0,960.0,5200.0,46
2.45,4,2.5,2110.0,6295.0,2.0,A0,0,8,2110,0,2720.0,6311.0,15
4.25,3,2.5,2440.0,7600.0,1.0,A0,0,7,1420,1020,2060.0,7700.0,34
1.908,3,1.75,1460.0,7361.0,1.0,A0,0,6,1460,0,1460.0,7505.0,33
9.53,3,3.0,2800.0,5800.0,1.0,A0,0,9,1580,1220,2580.0,5800.0,62
2.9995,4,2.5,1980.0,12062.0,2.0,A0,0,8,1980,0,,7902.0,23
2.25,4,2.0,1580.0,9600.0,1.0,A0,0,7,1050,530,1710.0,9600.0,50
2.55,4,1.0,1100.0,5000.0,1.5,A0,0,6,1100,0,1560.0,4838.0,111
1.4,5,1.5,1980.0,7958.0,1.5,A0,0,7,1980,0,1510.0,8438.0,53
2.27,2,1.0,1010.0,6000.0,1.0,A0,0,6,1010,0,1610.0,7313.0,71
5.256,4,3.5,3110.0,6829.0,2.0,A0,0,8,3110,0,2910.0,7425.0,1
8.23,2,2.25,2470.0,7658.0,1.0,A0,0,8,1480,990,2070.0,7270.0,61
3.2495,3,1.5,2080.0,5244.0,1.0,A0,0,7,1190,890,1850.0,6982.0,56
3.15,2,1.0,860.0,5160.0,1.0,A0,0,7,860,0,1090.0,5356.0,106
8.361,4,3.25,3330.0,33826.0,2.0,A0,0,8,3330,0,2580.0,28707.0,91
20.75,3,2.75,3470.0,9610.0,3.0,A1,4,11,3470,0,,11875.0,26
1.54,2,1.0,1190.0,7408.0,1.0,A0,0,6,830,360,1140.0,7408.0,74
2.3,3,1.75,1660.0,11500.0,1.0,A0,0,7,1130,530,1250.0,11000.0,36
2.45,3,1.5,1650.0,9380.0,1.0,A0,0,7,1130,520,1720.0,8856.0,37
4.7,3,2.5,2660.0,20369.0,2.0,A0,0,8,2660,0,2720.0,12927.0,23
2.82,4,2.5,2380.0,7066.0,2.0,A0,0,7,2380,0,2310.0,8127.0,18
4.76,2,2.0,2260.0,9604.0,1.0,A0,0,9,2260,0,2260.0,10747.0,25
2.4,4,2.5,,10200.0,1.0,A0,0,8,1140,800,1920.0,12600.0,38
6.1,3,1.75,2210.0,8955.0,1.0,A0,1,8,1560,650,2210.0,8976.0,41
5.75,3,1.75,1550.0,5000.0,1.0,A0,0,7,1250,300,1110.0,5000.0,104
3.3,3,1.75,1980.0,8100.0,1.0,A0,0,7,1310,670,,8212.0,66
4.5,3,1.75,1720.0,7200.0,1.0,A0,0,7,1140,580,1700.0,8400.0,38
2.89,4,1.0,1020.0,11383.0,1.5,A0,0,6,1020,0,1290.0,11213.0,68
5.24,3,2.75,,2500.0,1.5,A0,0,7,1410,550,2040.0,5000.0,89
11.41,4,2.5,3190.0,8684.0,1.0,A0,3,9,1680,1510,3160.0,8684.0,48
2.59,4,2.5,2210.0,6080.0,1.0,A0,2,8,1410,800,2210.0,6175.0,50
3.45,3,3.0,2700.0,47050.0,2.0,A0,0,9,1570,1130,2260.0,45901.0,29
4.2,2,1.0,970.0,4284.0,1.0,A0,0,7,970,0,,4284.0,110
3.4,3,2.0,1410.0,4303.0,1.5,A0,0,7,1410,0,1660.0,4326.0,115
5.21,2,1.0,1040.0,4880.0,1.0,A0,0,7,1040,0,,4590.0,105
8.0,4,2.25,2380.0,4876.0,2.0,A0,0,9,2240,140,,4559.0,67
2.5,3,1.0,,7541.0,1.0,A0,0,6,1040,0,1140.0,6100.0,64
9.7,4,3.0,2790.0,3600.0,2.0,A0,0,8,1880,910,,3600.0,110
1.25,2,1.0,1730.0,9610.0,1.0,A0,0,7,1380,350,1310.0,9812.0,53
3.1,3,2.5,1520.0,1488.0,3.0,A0,0,8,1520,0,1520.0,1497.0,9
7.35,3,1.75,2060.0,3300.0,2.0,A0,0,9,1500,560,1830.0,3712.0,97
5.325,3,1.5,1800.0,4700.0,1.0,A0,0,7,1200,600,,4700.0,74
2.1335,3,1.5,1860.0,7963.0,1.0,A0,0,7,1200,660,1800.0,10400.0,52
11.75,4,3.25,3160.0,10043.0,2.0,A0,2,9,3160,0,3450.0,10043.0,4
2.8,3,1.75,2040.0,8173.0,1.0,A0,0,7,1470,570,1900.0,8172.0,57
6.45,4,2.75,3370.0,7634.0,1.0,A0,2,8,2110,1260,2460.0,7634.0,38
3.69,3,2.0,1460.0,2610.0,2.0,A0,0,8,1460,0,1320.0,3000.0,28
2.25,3,2.5,2020.0,6628.0,1.0,A0,0,7,1250,770,1540.0,9995.0,52
1.6,4,1.75,1920.0,9350.0,1.0,A0,0,7,1000,920,1910.0,8400.0,38
5.3,3,2.5,2570.0,9487.0,2.0,A0,3,9,2570,0,2490.0,-412027.6250456027,26
6.65,4,2.5,2300.0,9900.0,1.0,A0,2,8,1600,700,2510.0,7500.0,54
4.99,4,2.5,2980.0,10179.0,2.0,A0,2,9,2980,0,2980.0,8828.0,12
3.46,3,2.5,2890.0,21780.0,2.0,A0,0,8,2890,0,2120.0,8117.0,15
6.74,4,2.5,1710.0,9627.0,1.0,A0,0,9,1440,270,2140.0,9131.0,39
4.05,3,1.0,1150.0,4945.0,1.0,A0,2,7,1150,0,1390.0,4945.0,72
15.75,3,2.25,2750.0,6203.0,1.0,A1,4,7,1620,1130,2570.0,7009.0,56
4.48,3,1.5,1240.0,7735.0,1.0,A0,0,7,1240,0,1260.0,7500.0,58
1.95,3,1.75,1800.0,9314.0,2.0,A0,0,8,1800,0,2100.0,9658.0,36
7.07,2,1.5,1570.0,3600.0,1.5,A0,2,7,1320,250,,3600.0,109
1.4,3,1.75,1430.0,13399.0,1.0,A0,0,7,900,530,1720.0,6415.0,69
7.15,4,2.5,3020.0,36893.0,2.0,A0,0,9,3020,0,3020.0,36444.0,29
3.3,2,1.5,1170.0,1274.0,3.0,A0,0,8,1170,0,1290.0,1308.0,14
10.0,4,2.5,3000.0,10920.0,1.0,A0,0,8,1550,1450,2380.0,10920.0,46
1.9795,3,2.25,1570.0,9096.0,1.0,A0,0,7,1180,390,1570.0,8418.0,24
2.32,3,2.0,1790.0,7259.0,1.0,A0,0,7,1390,400,,7700.0,35
6.59,4,2.5,2180.0,7204.0,2.0,A0,0,8,2180,0,,7650.0,1
5.31,3,1.75,1970.0,8540.0,1.0,A0,3,8,1130,840,2280.0,8540.0,65
7.76,3,2.5,3560.0,107290.0,2.0,A0,0,10,3560,0,3660.0,89298.0,28
2.6,4,2.5,2240.0,9701.0,2.0,A0,0,9,2240,0,2240.0,9410.0,26
2.33,4,2.5,2330.0,4606.0,2.0,A0,0,8,2330,0,2330.0,5783.0,11
3.5,4,2.5,2400.0,6053.0,2.0,A0,0,8,2400,0,2460.0,6519.0,14
3.98,5,3.25,2180.0,7200.0,2.0,A0,0,7,2180,0,1840.0,7644.0,33
7.105,4,4.0,3280.0,8448.0,2.0,A0,0,10,3280,0,3730.0,8030.0,8
1.75,2,1.0,1400.0,19570.0,1.5,A0,0,6,1100,300,2250.0,6500.0,86
1.7,5,1.75,2020.0,7902.0,1.0,A0,0,7,1220,800,2220.0,8819.0,53
1.65,2,1.5,1670.0,9880.0,1.0,A0,0,7,1670,0,1670.0,9807.0,74
3.66,2,1.0,1290.0,1289.0,2.0,A0,0,7,1030,260,1290.0,1332.0,10
6.1,4,2.0,2340.0,6000.0,1.0,A0,0,8,1270,1070,,6000.0,62
2.8,4,2.5,1780.0,15000.0,2.0,A0,0,7,1780,0,2005.0,9680.0,22
1.0,3,1.5,1220.0,7300.0,1.0,A0,0,7,1220,0,1260.0,7347.0,42
3.0,2,1.5,1050.0,1046.0,2.0,A0,0,8,960,90,1470.0,1768.0,8
4.05,3,2.25,1950.0,8892.0,2.0,A0,0,8,1950,0,1900.0,8750.0,32
8.11,3,2.25,2380.0,6000.0,2.0,A0,0,9,1650,730,2000.0,6000.0,84
5.5,4,1.5,2120.0,5000.0,2.0,A0,0,8,2120,0,1830.0,5000.0,115
2.238,2,1.0,860.0,8189.0,1.0,A0,0,6,860,0,1180.0,8189.0,67
3.539,4,2.5,2820.0,5056.0,2.0,A0,0,9,2820,0,,5150.0,9
8.95,4,1.75,4060.0,4000.0,2.0,A0,3,10,2890,1170,,4000.0,62
1.85,4,2.5,1990.0,6671.0,2.0,A0,0,7,1990,0,,6566.0,26
5.25,2,1.0,910.0,2002.0,1.5,A0,0,6,910,0,1190.0,1208.0,115
2.1,3,2.5,1320.0,955.0,3.0,A0,0,7,1320,0,1300.0,1003.0,6
12.2,4,2.5,3070.0,4000.0,2.0,A0,0,8,2070,1000,2560.0,4000.0,75
4.0495,3,2.5,2780.0,6000.0,2.0,A0,0,9,2780,0,1940.0,3466.0,11
4.1,4,3.25,2820.0,6611.0,1.0,A0,0,7,1410,1410,2320.0,6611.0,57
5.7,4,2.25,2070.0,8720.0,1.0,A0,0,8,1360,710,2180.0,8510.0,41
5.75,3,1.75,2140.0,9484.0,1.0,A0,0,7,1290,850,,9630.0,62
7.45,3,2.5,3030.0,46538.0,2.0,A0,0,10,3030,0,3370.0,51450.0,18
4.69,3,2.5,1460.0,1613.0,2.0,A0,0,8,1180,280,1460.0,1403.0,8
3.35,4,2.25,2510.0,4090.0,2.0,A0,0,8,1840,670,,4090.0,3
1.735,3,1.75,2090.0,12026.0,1.0,A0,0,7,2090,0,,9496.0,67
3.1,2,1.0,830.0,26329.0,1.0,A1,3,6,830,0,2030.0,27338.0,87
2.15,3,2.25,1500.0,7308.0,1.0,A0,0,7,1210,290,1480.0,7400.0,47
1.55,3,1.5,1630.0,6625.0,1.0,A0,0,7,980,650,1440.0,7145.0,35
3.6895,3,1.75,2000.0,36000.0,1.0,A0,0,6,2000,0,2100.0,9681.0,69
5.79,3,3.25,1530.0,1565.0,2.0,A0,0,8,1280,250,1530.0,1381.0,10
2.9495,4,2.5,1910.0,10221.0,2.0,A0,0,8,1910,0,2210.0,8705.0,21
3.9,4,2.5,3060.0,6000.0,2.0,A0,0,9,3060,0,3040.0,6000.0,3
5.5,3,2.5,1730.0,1301.0,3.0,A0,0,9,1730,0,1330.0,1240.0,4
4.5,4,1.75,1600.0,7400.0,1.0,A0,0,7,1210,390,1640.0,7500.0,42
3.325,5,2.0,2740.0,8230.0,1.5,A0,0,7,2210,530,,8232.0,53
3.425,2,1.0,1330.0,5510.0,1.0,A0,0,6,850,480,1200.0,4150.0,105
2.49,2,1.0,820.0,8370.0,1.0,A0,0,7,820,0,1410.0,8370.0,74
1.725,2,1.0,700.0,6046.0,1.0,A0,0,6,700,0,990.0,6790.0,65
2.4495,2,2.5,1280.0,819.0,2.0,A0,0,8,1060,220,,2900.0,9
3.54,3,2.5,2530.0,8820.0,2.0,A0,0,8,2530,0,2340.0,9472.0,18
2.28,2,2.0,970.0,9750.0,1.0,A0,0,6,970,0,1850.0,9000.0,75
9.25,3,2.5,2044.0,5610.0,2.0,A0,0,9,2044,0,2440.0,5610.0,19
2.75,4,3.0,2560.0,5606.0,2.0,A0,0,9,2560,0,2667.0,7334.0,11
5.95,3,1.75,1850.0,8160.0,1.0,A0,0,8,1850,0,1600.0,8160.0,63
3.86,4,1.0,1260.0,8505.0,1.5,A0,0,7,1260,0,1480.0,8100.0,64
2.15,4,1.75,1990.0,18900.0,2.0,A0,0,7,1870,120,,12400.0,86
2.2045,3,2.0,2030.0,17120.0,1.0,A0,2,8,1890,140,1870.0,13662.0,49
4.2,3,1.75,1890.0,6557.0,1.0,A0,0,8,1890,0,,6793.0,48
1.775,4,2.5,2600.0,11280.0,1.5,A0,0,7,1570,1030,1660.0,11200.0,54
2.85,4,3.0,2580.0,6740.0,2.0,A0,0,8,2580,0,2010.0,6740.0,16
3.6,3,2.5,1600.0,2375.0,2.0,A0,0,7,1600,0,1830.0,2375.0,10
3.25,3,2.5,1600.0,2388.0,2.0,A0,0,8,1600,0,1410.0,1287.0,11
5.75,4,2.5,2620.0,19864.0,2.0,A0,0,8,2620,0,2500.0,13285.0,31
1.67025,4,1.75,1400.0,54014.0,1.5,A0,0,7,1400,0,,8523.0,80
7.99,4,2.75,2860.0,6867.0,1.0,A0,1,7,1560,1300,2290.0,5350.0,69
8.57808,5,4.5,4690.0,6705.0,2.0,A0,0,10,3450,1240,4070.0,11505.0,20
1.25,3,2.0,1190.0,6833.0,1.0,A0,0,7,1190,0,1540.0,8000.0,20
3.2495,3,2.5,3087.0,5002.0,2.0,A0,0,8,3087,0,2927.0,5183.0,1
1.65,3,2.25,1460.0,5818.0,1.0,A0,0,7,1140,320,1490.0,6031.0,29
3.77,3,1.75,1110.0,9012.0,1.0,A0,0,7,1110,0,1800.0,8679.0,49
3.33,5,3.25,2820.0,6589.0,1.5,A0,0,7,2320,500,1560.0,5647.0,109
2.09,3,1.75,1320.0,35100.0,1.0,A0,0,7,1320,0,1660.0,35100.0,25
6.25,3,1.5,1460.0,78408.0,1.0,A0,0,7,1460,0,,7787.0,52
1.65,4,2.0,1750.0,7800.0,1.0,A0,0,6,1750,0,1270.0,7800.0,71
3.218,4,2.5,2200.0,6018.0,2.0,A0,0,8,2200,0,2480.0,5899.0,5
11.35,3,1.75,1900.0,13600.0,1.0,A0,0,8,1900,0,2510.0,16600.0,59
3.9,4,2.5,2090.0,9702.0,1.0,A0,0,7,1320,770,1850.0,7200.0,50
7.65,4,2.5,2170.0,9796.0,1.0,A0,0,8,1650,520,,9796.0,35
4.8,4,1.75,2350.0,6200.0,1.5,A0,0,7,1410,940,,6150.0,69
1.8995,4,1.0,1810.0,7500.0,1.0,A0,0,7,1410,400,1250.0,6255.0,56
4.0,4,1.75,2160.0,19283.0,2.0,A0,0,8,2160,0,1990.0,9744.0,34
5.23555,3,2.5,3040.0,7880.0,2.0,A0,0,9,3040,0,3040.0,7880.0,11
5.4,2,1.0,1270.0,5000.0,1.0,A0,0,8,1090,180,1640.0,5000.0,66
6.131,4,2.5,2370.0,10513.0,2.0,A0,0,8,2370,0,2110.0,9540.0,28
4.4,3,1.5,2200.0,7620.0,1.0,A0,0,7,1130,1070,2170.0,7672.0,73
1.32,3,1.0,1080.0,10200.0,1.0,A0,0,7,1080,0,1230.0,10400.0,53
3.05,2,2.5,1230.0,987.0,2.0,A0,0,7,1060,170,1290.0,1328.0,4
4.81,4,2.5,2230.0,7200.0,1.0,A0,0,7,1220,1010,1920.0,7200.0,58
4.45,2,1.5,1840.0,3825.0,1.0,A0,0,8,1040,800,1290.0,5100.0,87
3.5,3,1.5,1400.0,1022.0,3.0,A0,0,8,1400,0,1270.0,1205.0,8
1.52,3,1.75,1510.0,9837.0,2.0,A0,0,7,1510,0,1470.0,8054.0,26
3.05,3,2.5,1260.0,900.0,2.0,A0,0,7,940,320,1310.0,1415.0,8
1.9,3,2.5,1660.0,5250.0,2.0,A0,0,8,1660,0,1630.0,5505.0,27
2.2,3,2.25,1330.0,7200.0,1.0,A0,0,7,900,430,1380.0,9570.0,41
2.4,4,2.25,2550.0,9736.0,1.0,A0,0,8,2550,0,1770.0,9686.0,48
8.4,3,1.0,1560.0,8232.0,1.0,A0,0,7,1560,0,1930.0,8286.0,63
2.07613,2,1.0,830.0,6017.0,1.0,A0,0,6,830,0,1340.0,6040.0,61
5.85,4,1.75,1870.0,10450.0,1.0,A0,0,8,1620,250,2060.0,10450.0,37
2.9495,3,1.75,1640.0,4860.0,1.0,A0,0,8,1200,440,1480.0,7200.0,50
6.148,2,1.75,1370.0,3125.0,1.0,A0,0,7,1090,280,1730.0,5966.0,65
4.0,3,2.5,2220.0,60984.0,2.0,A0,0,8,2220,0,1930.0,55333.0,28
1.0495,4,1.5,1130.0,5200.0,1.0,A0,0,6,1130,0,1140.0,5200.0,47
2.75,3,1.5,1860.0,17640.0,1.0,A0,0,7,1860,0,,17820.0,49
6.15,5,3.25,3340.0,9075.0,2.0,A0,0,8,2600,740,,6646.0,10
3.14,3,1.75,2180.0,9220.0,1.0,A0,0,7,1090,1090,2050.0,22400.0,77
2.4,2,2.25,1240.0,705.0,2.0,A0,0,7,1150,90,1240.0,750.0,6
6.75,3,2.5,2360.0,12987.0,2.0,A0,0,8,2360,0,2480.0,11665.0,32
6.075,6,4.5,3500.0,8504.0,2.0,A0,0,7,3500,0,,8460.0,35
6.687,4,2.5,2610.0,33206.0,2.0,A0,0,10,2610,0,2870.0,28295.0,27
3.35,3,1.0,1470.0,6500.0,1.0,A0,0,7,1470,0,1470.0,9300.0,62
5.14,3,2.5,2320.0,5663.0,2.0,A0,0,8,2320,0,2500.0,4500.0,12
2.6062,3,2.25,1800.0,15903.0,1.0,A0,0,8,1340,460,,15233.0,29
7.58,4,2.5,2190.0,12690.0,1.0,A0,2,8,1170,1020,2630.0,10843.0,42
5.55,2,2.5,2290.0,3507.0,2.0,A0,0,9,2290,0,2290.0,3640.0,10
3.65,3,2.25,1880.0,7989.0,1.0,A0,0,7,1280,600,1820.0,7414.0,33
6.05,4,2.75,2220.0,5310.0,1.0,A0,0,7,1170,1050,1540.0,4200.0,64
2.75,3,2.0,1440.0,5469.0,1.0,A0,0,8,1440,0,1980.0,6198.0,27
2.675,3,2.5,1810.0,5192.0,2.0,A0,0,8,1810,0,1810.0,6200.0,22
4.9,3,2.5,1880.0,12368.0,1.0,A0,0,7,1260,620,1950.0,11551.0,48
1.35,3,1.5,1920.0,61014.0,1.0,A0,0,6,1920,0,1616.0,61014.0,62
2.1495,4,2.25,2190.0,6906.0,1.0,A0,0,7,1040,1150,,6440.0,38
3.1,3,2.0,1860.0,7400.0,1.0,A0,0,8,930,930,1640.0,8461.0,93
15.75,4,2.75,3190.0,14904.0,1.0,A0,3,9,1940,1250,2600.0,11195.0,66
0.4,2,1.0,1000.0,16524.0,1.0,A0,0,5,1000,0,1350.0,10208.0,102
8.83,4,3.5,1800.0,6400.0,2.0,A0,2,8,1800,0,1700.0,4736.0,31
5.4175,3,1.5,2140.0,47743.0,1.5,A0,0,9,2140,0,1060.0,6016.0,37
3.77,2,1.0,1340.0,8100.0,1.0,A0,2,8,1340,0,1680.0,7752.0,65
0.35,2,1.0,830.0,7590.0,1.0,A0,0,6,830,0,980.0,7590.0,72
3.7945,4,3.0,2810.0,6000.0,2.0,A0,0,9,2810,0,2790.0,6000.0,8
6.25,3,3.5,3030.0,11550.0,2.0,A0,2,8,3030,0,2340.0,10560.0,44
4.15,5,2.0,2150.0,4500.0,1.5,A0,0,8,2150,0,1300.0,4500.0,77
9.35,2,2.0,1460.0,9052.0,1.0,A0,2,6,1460,0,2554.0,7834.0,115
4.85,3,2.5,2280.0,12498.0,2.0,A0,0,9,2280,0,2330.0,8844.0,28
4.75,2,1.0,1270.0,43560.0,1.0,A0,0,5,1270,0,1870.0,6960.0,107
2.805,3,2.5,2600.0,5540.0,2.0,A0,0,8,2600,0,2600.0,5540.0,11
4.8,3,1.5,1740.0,4200.0,1.5,A0,0,7,1640,100,1660.0,3750.0,95
6.15,3,2.0,1770.0,1800.0,3.0,A0,0,8,1770,0,1890.0,3200.0,16
5.4,3,1.75,1900.0,5000.0,1.0,A0,0,7,950,950,1770.0,5000.0,64
1.6,3,2.25,1670.0,7606.0,2.0,A0,0,7,1670,0,1670.0,7433.0,25
0.35,3,1.0,1250.0,53143.0,1.0,A0,0,6,1250,0,1820.0,217800.0,70
4.5,3,2.5,2320.0,9610.0,1.0,A0,0,9,1730,590,,9608.0,25
4.05,4,1.75,1920.0,9380.0,1.0,A0,0,7,1920,0,,8580.0,51
3.18,3,2.25,2140.0,10256.0,2.0,A0,0,8,2140,0,2040.0,11717.0,28
1.6,3,1.0,1060.0,7473.0,1.0,A0,0,7,1060,0,1320.0,7912.0,56
7.75,2,2.5,3360.0,6750.0,2.0,A0,0,9,3360,0,2510.0,6750.0,11
4.52,2,1.75,1640.0,4080.0,1.0,A0,0,7,840,800,1980.0,4080.0,94
9.6,4,4.0,4090.0,51908.0,2.0,A0,0,11,4090,0,4290.0,41655.0,24
4.95,3,2.5,1910.0,4941.0,2.0,A0,0,8,1910,0,,4941.0,16
0.3,3,1.0,880.0,18109.0,1.0,A0,0,6,880,0,940.0,11193.0,45
1.16,3,1.0,990.0,8255.0,1.0,A0,0,7,990,0,1180.0,9750.0,62
2.44,4,2.25,2390.0,7350.0,2.0,A0,0,8,2390,0,,7350.0,25
3.05,4,2.5,2270.0,11500.0,1.0,A0,0,8,1540,730,2020.0,10918.0,48
5.29,3,1.0,1440.0,13824.0,1.0,A0,0,7,1440,0,2540.0,12092.0,58
3.33474,3,2.5,1800.0,2731.0,2.0,A0,0,8,1800,0,1800.0,3265.0,1
1.4,4,2.0,1470.0,7000.0,1.0,A0,0,8,1470,0,1640.0,7000.0,48
1.9,3,1.75,1420.0,8126.0,1.0,A0,0,8,1420,0,1730.0,7954.0,24
3.27,3,2.5,2700.0,9994.0,1.0,A0,3,7,1350,1350,,10664.0,56
2.24,2,1.0,1040.0,4600.0,1.0,A0,0,6,1040,0,1390.0,5897.0,65
1.75,2,1.0,860.0,4320.0,1.0,A0,0,7,860,0,980.0,6000.0,90
4.8,4,2.0,1680.0,2600.0,1.0,A0,0,7,840,840,1680.0,3340.0,100
